code,region,year,value
USA,United States,1990,75.73808728
USA,United States,1991,73.94595205
USA,United States,1992,73.80924402
USA,United States,1993,73.73889537
USA,United States,1994,74.62627691
USA,United States,1995,74.95731362
USA,United States,1996,75.52152287
USA,United States,1997,76.31944934
USA,United States,1998,79.35922355
USA,United States,1999,82.97706305
USA,United States,2000,86.32600263
USA,United States,2001,90.46253927
USA,United States,2002,95.55080369
USA,United States,2003,100.7443824
USA,United States,2004,107.5683637
USA,United States,2005,115.5017399
USA,United States,2006,118.8990615
USA,United States,2007,115.8404917
USA,United States,2008,103.284902
USA,United States,2009,97.362854
USA,United States,2010,92.81185608
USA,United States,2011,86.62738012
USA,United States,2012,87.34253432
USA,United States,2013,92.15677622
USA,United States,2014,95.28769356
USA,United States,2015,100
USA,United States,2016,104.5174384
USA,United States,2017,109.0317467
USA,United States,2018,113.3807648
USA,United States,2019,117.3966886
USA,United States,2020,125.2549512
USA,United States,2021,140.2138692
USA,United States,2022,149.8828705
USA,United States,2023,151.6550263
FRA,France,1990,59.56743517
FRA,France,1991,60.01485047
FRA,France,1992,57.35045496
FRA,France,1993,56.01350377
FRA,France,1994,55.31083594
FRA,France,1995,52.60355681
FRA,France,1996,51.3105696
FRA,France,1997,50.70503156
FRA,France,1998,51.61480201
FRA,France,1999,55.40691137
FRA,France,2000,59.06499588
FRA,France,2001,62.59618407
FRA,France,2002,67.46925489
FRA,France,2003,74.30431666
FRA,France,2004,83.66697207
FRA,France,2005,94.88809355
FRA,France,2006,104.1123368
FRA,France,2007,108.8577126
FRA,France,2008,106.8874315
FRA,France,2009,100.859468
FRA,France,2010,104.8259231
FRA,France,2011,109.076821
FRA,France,2012,107.0666561
FRA,France,2013,104.198129
FRA,France,2014,102.1805813
FRA,France,2015,100
FRA,France,2016,100.7050093
FRA,France,2017,102.9531342
FRA,France,2018,104.1089407
FRA,France,2019,106.6692787
FRA,France,2020,111.5954573
FRA,France,2021,117.4724046
FRA,France,2022,119.162362
FRA,France,2023,110.6182518
EA,Euro area,1990,79.81559904
EA,Euro area,1991,82.54981589
EA,Euro area,1992,82.58880759
EA,Euro area,1993,81.25557894
EA,Euro area,1994,80.61464756
EA,Euro area,1995,79.51881867
EA,Euro area,1996,79.65555216
EA,Euro area,1997,79.66592089
EA,Euro area,1998,80.64027296
EA,Euro area,1999,83.23585398
EA,Euro area,2000,85.75586476
EA,Euro area,2001,87.89733723
EA,Euro area,2002,91.85245307
EA,Euro area,2003,95.17030768
EA,Euro area,2004,99.42069852
EA,Euro area,2005,104.4133521
EA,Euro area,2006,109.5432929
EA,Euro area,2007,112.1497235
EA,Euro area,2008,110.609788
EA,Euro area,2009,107.8543006
EA,Euro area,2010,107.2039864
EA,Euro area,2011,105.9899215
EA,Euro area,2012,102.007347
EA,Euro area,2013,98.91041772
EA,Euro area,2014,98.72653194
EA,Euro area,2015,100
EA,Euro area,2016,103.5281856
EA,Euro area,2017,106.6626362
EA,Euro area,2018,110.10932
EA,Euro area,2019,113.6688393
EA,Euro area,2020,118.9410022
EA,Euro area,2021,125.4462786
EA,Euro area,2022,125.8467384
EA,Euro area,2023,117.1971223
CAN,Canada,1990,51.72400745
CAN,Canada,1991,51.63921288
CAN,Canada,1992,51.53151064
CAN,Canada,1993,51.50008018
CAN,Canada,1994,52.54611558
CAN,Canada,1995,49.60268165
CAN,Canada,1996,48.84751638
CAN,Canada,1997,49.3632906
CAN,Canada,1998,48.0443434
CAN,Canada,1999,48.77445444
CAN,Canada,2000,49.79868328
CAN,Canada,2001,51.08484798
CAN,Canada,2002,54.10359992
CAN,Canada,2003,57.63689819
CAN,Canada,2004,61.34328894
CAN,Canada,2005,65.11733585
CAN,Canada,2006,71.49325537
CAN,Canada,2007,78.43111869
CAN,Canada,2008,81.14554788
CAN,Canada,2009,79.66889189
CAN,Canada,2010,85.66805768
CAN,Canada,2011,88.44009591
CAN,Canada,2012,91.46301802
CAN,Canada,2013,92.79124128
CAN,Canada,2014,95.86239754
CAN,Canada,2015,100
CAN,Canada,2016,109.0763003
CAN,Canada,2017,120.423605
CAN,Canada,2018,122.8547814
CAN,Canada,2019,122.6651484
CAN,Canada,2020,129.6785242
CAN,Canada,2021,144.5860259
CAN,Canada,2022,152.5389038
CAN,Canada,2023,144.088315
DEU,Germany,1990,104.3891623
DEU,Germany,1991,105.9933543
DEU,Germany,1992,107.1786073
DEU,Germany,1993,108.0453496
DEU,Germany,1994,110.1113726
DEU,Germany,1995,110.2633213
DEU,Germany,1996,108.0781571
DEU,Germany,1997,105.00333
DEU,Germany,1998,103.7624591
DEU,Germany,1999,103.2248382
DEU,Germany,2000,102.7446623
DEU,Germany,2001,100.7062683
DEU,Germany,2002,98.12865087
DEU,Germany,2003,97.07392458
DEU,Germany,2004,94.52081621
DEU,Germany,2005,94.66740482
DEU,Germany,2006,93.0985732
DEU,Germany,2007,89.4327756
DEU,Germany,2008,88.90432014
DEU,Germany,2009,89.56830573
DEU,Germany,2010,89.01811998
DEU,Germany,2011,90.51889133
DEU,Germany,2012,92.34383045
DEU,Germany,2013,93.95022181
DEU,Germany,2014,96.02596956
DEU,Germany,2015,100
DEU,Germany,2016,106.7711494
DEU,Germany,2017,111.6199461
DEU,Germany,2018,117.3019958
DEU,Germany,2019,122.4756255
DEU,Germany,2020,131.2015212
DEU,Germany,2021,142.2157642
DEU,Germany,2022,140.4980443
